country,country_code,deflator_2018,deflator_2019,deflator_2020
Aruba,ABW,,,
Africa Eastern and Southern,AFE,,,
Afghanistan,AFG,17.15017272,17.94821495,18.70830266
Africa Western and Central,AFW,,,
Angola,AGO,117.1561296,147.4341567,167.6614249
Albania,ALB,42.12577124,41.34246355,41.00808391
Andorra,AND,,,
Arab World,ARB,,,
United Arab Emirates,ARE,2.347755016,2.26275575,
Argentina,ARG,14.02408248,20.75296142,28.67379681
Armenia,ARM,156.5597434,156.0637894,157.0909968
American Samoa,ASM,,,
Antigua and Barbuda,ATG,2.090438261,2.057257559,2.059665892
Australia,AUS,1.472427,1.474643,1.471741
Austria,AUT,0.764069,0.763387,0.764401
Azerbaijan,AZE,0.553764715,0.542844829,0.495733279
Burundi,BDI,621.3082353,615.4305558,680.4127916
Belgium,BEL,0.765017,0.757838,0.75128
Benin,BEN,212.9395565,208.5402228,211.9744566
Burkina Faso,BFA,208.0072149,203.0663117,209.8447162
Bangladesh,BGD,30.66644268,31.47202114,32.8088089
Bulgaria,BGR,0.681836057,0.698548525,0.702638963
Bahrain,BHR,0.190671886,0.187683144,0.17674733
"Bahamas, The",BHS,0.890766978,0.901577026,0.881503545
Bosnia and Herzegovina,BIH,0.67451556,0.674724448,0.663356494
Belarus,BLR,0.666962294,0.711792768,0.77431014
Belize,BLZ,1.345150584,1.343848548,1.374116305
Bermuda,BMU,1.355566858,1.373367093,
Bolivia,BOL,2.766534614,2.699178021,2.595625097
Brazil,BRA,2.226136825,2.280712551,2.361702853
Barbados,BRB,2.211073773,2.226751873,2.237811859
Brunei Darussalam,BRN,0.689913655,0.655203363,0.577129625
Bhutan,BTN,19.08797913,18.9357169,20.10600138
Botswana,BWA,4.676811562,4.627071048,4.543652562
Central African Republic,CAF,276.6751202,278.2957182,280.1894359
Canada,CAN,1.198165,1.213289,1.206376
Central Europe and the Baltics,CEB,,,
Switzerland,CHE,1.17868,1.159406,1.139488
Channel Islands,CHI,,,
Chile,CHL,411.822718,398.922802,418.432299
China,CHN,4.228703645,4.208026528,4.185601824
Cote d'Ivoire,CIV,249.3691869,245.4868404,245.2539327
Cameroon,CMR,230.9789854,232.6553692,228.7506896
"Congo, Dem. Rep.",COD,812.8398437,836.1568816,911.2702751
"Congo, Rep.",COG,358.7369143,345.108802,312.038484
Colombia,COL,1338.006136,1349.411552,1352.785587
Comoros,COM,187.8270058,188.8206904,182.3411185
Cabo Verde,CPV,48.06187824,47.48478197,46.51202593
Costa Rica,CRI,342.664068,341.441239,335.859688
Caribbean small states,CSS,,,
Cuba,CUB,,,
Curacao,CUW,1.369608331,1.381315639,
Cayman Islands,CYM,0.975594502,0.99231016,
Cyprus,CYP,0.608576175,0.608704822,0.606090326
Czech Republic,CZE,12.37195,12.526003,12.658097
Germany,DEU,0.736689,0.742663,0.745541
Djibouti,DJI,104.5790414,105.2036901,105.2868948
Dominica,DMA,1.758349965,1.74105485,1.688857864
Denmark,DNK,6.7691,6.655992,6.597435
